10,10,15_lightgbm100    0.7611488542740115 <-x
10,10,15_lightgbm200    0.7894385798264494
10,10,15_lightgbm400    0.804327158320436
10,10,15_lightgbm800    0.8291459837585232 <-x
10,10,15_lightgbm1600   0.8490757361857374
10,10,15_lightgbm3200   0.8692106986657655
10,10,15_lightgbm6400   0.8776085263632494
10,10,15_lightgbm12800  0.8788749694420601 <-x
10,10,15_lightgbm25600    0.8748006600034262

16,16,40_lightgbm100      0.7426791461816196 <-x
16,16,40_lightgbm200      0.774089395584155
16,16,40_lightgbm400      0.7967173459462784
16,16,40_lightgbm800      0.817049043312442 <-x
16,16,40_lightgbm1600     0.8312832377257332
16,16,40_lightgbm3200     0.8402363477507855
16,16,40_lightgbm6400     0.845797496886022
16,16,40_lightgbm12800    0.8484308228321621 <-x
16,16,40_lightgbm25600    0.843900671807936

16,30,99_lightgbm100      0.6907230979237378 <-x
16,30,99_lightgbm200      0.7141610315514583 <-x
16,30,99_lightgbm400      0.7273076293075862 <-x
16,30,99_lightgbm800      0.7258201400141424
16,30,99_lightgbm1600     0.7096598934080462
16,30,99_lightgbm3200     0.6800080981034431
16,30,99_lightgbm6400     0.6271852639413888
16,30,99_lightgbm12800    0.5642446131324502
16,30,99_lightgbm25600    0.5229703193603255

10,10,15_catboost100      0.7826958963632946 <-x
10,10,15_catboost200      0.8140132525593298
10,10,15_catboost400      0.8367510898099408
10,10,15_catboost800      0.8422482760601718 <-x
10,10,15_catboost1600     0.8430825229288372
10,10,15_catboost3200     0.843729631379528
10,10,15_catboost6400     0.8446211137782942 <-x

16,16,40_catboost100    0.751757401288514 <-x
16,16,40_catboost200    0.782460797344283
16,16,40_catboost400    0.8097371629292773 <-x
16,16,40_catboost800    0.8159147713432933
16,16,40_catboost1600   0.8149039440691472
16,16,40_catboost3200   0.8165704174005779 <-x
16,16,40_catboost6400   0.8159480862768709

16,30,99_catboost100    0.6703301050126761 <-x
16,30,99_catboost200    0.6917033036610583
16,30,99_catboost400    0.7087487396115226 <-x
16,30,99_catboost800    0.7233722260007265
16,30,99_catboost1600   0.732172851088737 <-x
16,30,99_catboost3200   0.7297349290342372
16,30,99_catboost6400   0.7312775294111286

10,10,15_xgboost100     0.7364296251932196 <-x
10,10,15_xgboost200     0.772946015548933
10,10,15_xgboost400     0.7981303509917489
10,10,15_xgboost800     0.8176167127049163 <-x
10,10,15_xgboost1600    0.8286857577004776
10,10,15_xgboost3200    0.8354379883712846
10,10,15_xgboost6400    0.8384145053079759 <-x

16,16,40_xgboost100     0.7194373050269549 <-x
16,16,40_xgboost200     0.7577998293066708
16,16,40_xgboost400     0.7787753090898317
16,16,40_xgboost800     0.7925692163583108 <-x
16,16,40_xgboost1600    0.8034716828235967
16,16,40_xgboost3200    0.810167358213661
16,16,40_xgboost6400    0.8105690681452025 <-x

16,30,99_xgboost100     0.5000174259169189 <-x
16,30,99_xgboost200     0.5005429613852945
16,30,99_xgboost400     0.5038117203720893 <-x
16,30,99_xgboost800     0.5119927786953239
16,30,99_xgboost1600    0.5207672522170028
16,30,99_xgboost3200    0.5230730097560177 <-x
16,30,99_xgboost6400    0.5202389676095769

10,10,15_gaussiannb     0.5736963049426816 <-x

16,16,40_gaussiannb     0.5475238912050189 <-x

16,30,99_gaussiannb     0.5272403448760843 <-x

10,10,15_mlp(16,)       0.638763299764564 <-
10,10,15_mlp(32,)       0.6640997561626705
10,10,15_mlp(64,)       0.7253373958162399
10,10,15_mlp(128,)      0.7472006724729163
10,10,15_mlp(256,)      0.7621115147413355
10,10,15_mlp(16,16)     0.6624098654056181
10,10,15_mlp(32,16)     0.6853929862867361 <-
10,10,15_mlp(32,32)     0.713806417367575
10,10,15_mlp(64,16)     0.7268022152674849
10,10,15_mlp(64,64)     0.740099855335832
10,10,15_mlp(128,16)    0.7551843270262307
10,10,15_mlp(128,128)   0.7574301909854776
10,10,15_mlp(256,16)    0.7703501213761024 <-
10,10,15_mlp(256,256)   0.7600478863315139

16,16,40_mlp(16,)       0.6341483424615395 <-
16,16,40_mlp(32,)       0.666934389741853
16,16,40_mlp(64,)       0.693401811786798
16,16,40_mlp(128,)      0.690561435579407
16,16,40_mlp(256,)      0.6938482728345833 <-
16,16,40_mlp(16,16)     0.6419020286843548
16,16,40_mlp(32,16)     0.6657717167430528
16,16,40_mlp(32,32)     0.6803676117426573
16,16,40_mlp(64,16)     0.6758442287627913
16,16,40_mlp(64,64)     0.7042463615427166 <-
16,16,40_mlp(128,16)    0.6971338290099146
16,16,40_mlp(128,128)   0.7014774264500795
16,16,40_mlp(256,16)    0.6923638660174896
16,16,40_mlp(256,256)   0.6892403455118286

16,30,99_mlp(16,)       0.500827333145831 <-
16,30,99_mlp(32,)       0.50203913221935
16,30,99_mlp(64,)       0.5108377697802713 <- 
16,30,99_mlp(128,)      0.525072782841155
16,30,99_mlp(256,)      0.5301925673456986 <- 
16,30,99_mlp(16,16,)    0.501117194362708
16,30,99_mlp(32,16,)    0.5058342607177757
16,30,99_mlp(32,32)     0.5044714089664131
16,30,99_mlp(64,16)     0.5132757418247454
16,30,99_mlp(64,64)     0.5155420656315054
16,30,99_mlp(128,16)    0.5214738978025599
16,30,99_mlp(128,128)   0.5247032171759265
16,30,99_mlp(256,16)    0.5286909246988231
16,30,99_mlp(256,256)   0.5271983752747005
