iter	Logloss
0	0.6838418633
1	0.6780163217
2	0.6734819305
3	0.6629306027
4	0.6597859487
5	0.6487993726
6	0.6383599392
7	0.6271622496
8	0.6238209737
9	0.6145947954
10	0.602907005
11	0.5938216718
12	0.5913960263
13	0.5891249335
14	0.579326943
15	0.5764158505
16	0.5745213805
17	0.5735116714
18	0.5720262935
19	0.5668410921
20	0.5650447925
21	0.5624440704
22	0.5611639791
23	0.5602633699
24	0.5586066666
25	0.5569779951
26	0.5553359997
27	0.5517987882
28	0.5503093347
29	0.549268621
30	0.5457682735
31	0.5442942088
32	0.5424286731
33	0.5410344388
34	0.5395574175
35	0.5356579667
36	0.534338671
37	0.5331546421
38	0.5312452697
39	0.5306570795
40	0.5299267524
41	0.5285594741
42	0.527233757
43	0.5264300047
44	0.525352546
45	0.5240754709
46	0.5222669121
47	0.5212623542
48	0.5200549584
49	0.5189489761
50	0.5182565399
51	0.5167771348
52	0.5154273696
53	0.5144504543
54	0.5134474261
55	0.5126879754
56	0.5120336788
57	0.5103008262
58	0.5095373594
59	0.5080535166
60	0.5073901499
61	0.5066364126
62	0.5059819322
63	0.5049588288
64	0.504438118
65	0.5037436061
66	0.503078326
67	0.5025568313
68	0.5020289531
69	0.5005271107
70	0.499956893
71	0.4991376709
72	0.4970325306
73	0.4965182033
74	0.4943579131
75	0.4936827792
76	0.4931214639
77	0.4923612565
78	0.4917970278
79	0.4894133433
80	0.4888300827
81	0.4876798854
82	0.4871185539
83	0.4865413255
84	0.4858342411
85	0.4836469137
86	0.4831020034
87	0.4826122107
88	0.4820026264
89	0.4815631188
90	0.480570366
91	0.4795240849
92	0.4780544309
93	0.4770081012
94	0.4763551667
95	0.4758256992
96	0.4737613471
97	0.473337585
98	0.472846668
99	0.4724570456
100	0.471489303
101	0.4710970158
102	0.4705775049
103	0.4701567266
104	0.4687880916
105	0.4676989629
106	0.4672930761
107	0.4668922216
108	0.4665957481
109	0.4661997475
110	0.4656326
111	0.4651822549
112	0.4645709247
113	0.463751708
114	0.4634060088
115	0.4614973607
116	0.4609427642
117	0.4601750435
118	0.4587910251
119	0.4584786602
120	0.457783143
121	0.4569755206
122	0.4566630476
123	0.4561650226
124	0.4558092534
125	0.4534506548
126	0.4530712213
127	0.4522126273
128	0.4515830489
129	0.4511820971
130	0.4507376761
131	0.4503630641
132	0.4499398643
133	0.449666347
134	0.4490647571
135	0.4486773293
136	0.448190904
137	0.4478729554
138	0.4472213992
139	0.4468954563
140	0.4463826371
141	0.4460660615
142	0.4457188975
143	0.44544391
144	0.4451384097
145	0.4447667761
146	0.4444457627
147	0.4441358518
148	0.4433693364
149	0.4429810546
150	0.4427180505
151	0.4412161001
152	0.4409284589
153	0.4406700493
154	0.4402734109
155	0.4394901176
156	0.4388194052
157	0.4378462681
158	0.4374887584
159	0.4372285165
160	0.4368518127
161	0.4363233128
162	0.4360160775
163	0.4356419952
164	0.4354245252
165	0.4351309057
166	0.4348325999
167	0.4341062456
168	0.4337959293
169	0.4334403439
170	0.4319600361
171	0.4317102048
172	0.4314155799
173	0.4311472571
174	0.430864486
175	0.4303784391
176	0.4300514854
177	0.4297952109
178	0.4294582358
179	0.4291947345
180	0.4289184551
181	0.4284958606
182	0.4282179705
183	0.4279797875
184	0.4277274048
185	0.4274668602
186	0.4270180501
187	0.4265095551
188	0.4263007605
189	0.4259340078
190	0.4256353236
191	0.4252884407
192	0.425018853
193	0.424749687
194	0.424473359
195	0.4241511024
196	0.4237470372
197	0.4234689146
198	0.4230506984
199	0.4224823725
200	0.4222329249
201	0.4219271274
202	0.4216949496
203	0.4214538369
204	0.4212099405
205	0.4209917785
206	0.4207636222
207	0.4205149476
208	0.4202318468
209	0.4193353294
210	0.4189891761
211	0.4186884758
212	0.4184724651
213	0.4182219905
214	0.417911458
215	0.417632903
216	0.4173579479
217	0.4166904895
218	0.416404059
219	0.4161681516
220	0.4158332575
221	0.4155725345
222	0.4153438161
223	0.4150485102
224	0.4148127487
225	0.4140615627
226	0.4138162231
227	0.4135055284
228	0.4132701182
229	0.4129973145
230	0.4127408346
231	0.4125023813
232	0.4120044968
233	0.4117449252
234	0.4113023636
235	0.4110033443
236	0.4107827824
237	0.4105709122
238	0.4103672256
239	0.4100891138
240	0.409898135
241	0.409644682
242	0.4094083584
243	0.4090134605
244	0.4087863312
245	0.408459891
246	0.4082125136
247	0.4079615417
248	0.4077452662
249	0.4073833782
250	0.4071673189
251	0.4069645133
252	0.4067185197
253	0.4064036954
254	0.4060211863
255	0.4058099215
256	0.4054999349
257	0.4052593087
258	0.4050827402
259	0.4046454813
260	0.4044050388
261	0.404088101
262	0.4031971781
263	0.4027636865
264	0.4025239198
265	0.4022467647
266	0.4017604151
267	0.4015543232
268	0.4013352531
269	0.4010546117
270	0.4008508278
271	0.4006168392
272	0.4003082904
273	0.4001071226
274	0.3999267165
275	0.3997148679
276	0.3995268781
277	0.3993160836
278	0.3991025486
279	0.3988918621
280	0.3986316526
281	0.3977038765
282	0.3974420238
283	0.397234413
284	0.3970005649
285	0.396812613
286	0.3966283745
287	0.3964233582
288	0.3961893048
289	0.3959895856
290	0.39580005
291	0.395603255
292	0.3954024764
293	0.3951733742
294	0.3949632661
295	0.3947221372
296	0.3945331799
297	0.3941926374
298	0.3939679134
299	0.3937603512
