iter	Passed	Remaining
0	102	656320
1	183	588309
2	265	567077
3	342	547129
4	422	539853
5	501	534773
6	587	536606
7	667	533351
8	749	531954
9	829	529905
10	908	527468
11	988	526287
12	1060	521113
13	1141	520723
14	1250	532433
15	1345	536939
16	1424	534825
17	1504	533367
18	1581	531195
19	1658	528965
20	1741	528988
21	1819	527486
22	1902	527423
23	1983	527051
24	2061	525670
25	2143	525589
26	2217	523386
27	2301	523741
28	2379	522730
29	2458	522054
30	2533	520462
31	2612	519853
32	2691	519360
33	2770	518798
34	2848	517963
35	2926	517282
36	3005	516797
37	3079	515636
38	3159	515372
39	3234	514318
40	3308	513120
41	3384	512341
42	3462	511865
43	3541	511602
44	3617	510882
45	3699	511005
46	3778	510676
47	3854	510140
48	3933	509785
49	4008	509029
50	4082	508274
51	4161	508051
52	4236	507363
53	4310	506507
54	4384	505814
55	4463	505660
56	4536	504786
57	4610	504127
58	4690	504090
59	4770	504068
60	4844	503404
61	4918	502804
62	4996	502574
63	5072	502226
64	5147	501677
65	5226	501577
66	5303	501323
67	5380	501035
68	5458	500842
69	5533	500347
70	5606	499750
71	5682	499392
72	5760	499248
73	5839	499221
74	5918	499151
75	5997	499083
76	6083	499517
77	6158	499123
78	6233	498785
79	6314	498839
80	6386	498234
81	6465	498122
82	6539	497737
83	6619	497733
84	6700	497818
85	6771	497121
86	6845	496732
87	6924	496682
88	7002	496570
89	7080	496418
90	7160	496444
91	7237	496222
92	7315	496128
93	7393	495981
94	7468	495683
95	7543	495330
96	7618	495062
97	7698	495090
98	7777	495004
99	7852	494728
100	7926	494348
101	8040	496484
102	8134	497300
103	8215	497341
104	8306	498004
105	8402	498942
106	8486	499106
107	8562	498825
108	8638	498591
109	8715	498355
110	8799	498573
111	8886	498909
112	8964	498771
113	9042	498595
114	9118	498370
115	9192	497977
116	9272	497934
117	9348	497691
118	9427	497586
119	9509	497639
120	9583	497320
121	9662	497237
122	9738	496983
123	9814	496732
124	9889	496461
125	9965	496200
126	10044	496114
127	10118	495799
128	10196	495695
129	10271	495379
130	10344	495051
131	10421	494875
132	10504	494960
133	10580	494750
134	10657	494599
135	10735	494475
136	10811	494249
137	10889	494120
138	10965	493899
139	11038	493562
140	11112	493288
141	11191	493208
142	11263	492854
143	11338	492592
144	11412	492322
145	11492	492309
146	11570	492197
147	11649	492132
148	11724	491875
149	11799	491653
150	11875	491474
151	11951	491279
152	12027	491063
153	12104	490952
154	12180	490737
155	12253	490455
156	12327	490184
157	12403	490027
158	12483	489988
159	12559	489807
160	12636	489673
161	12711	489471
162	12788	489332
163	12866	489233
164	12942	489079
165	13017	488864
166	13097	488825
167	13176	488775
168	13251	488575
169	13326	488383
170	13402	488202
171	13477	488004
172	13550	487742
173	13632	487802
174	13720	488057
175	13799	487986
176	13872	487747
177	13944	487415
178	14019	487231
179	14089	486854
180	14168	486807
181	14244	486656
182	14319	486468
183	14391	486177
184	14467	486017
185	14542	485854
186	14614	485546
187	14686	485264
188	14762	485145
189	14839	485019
190	14919	484997
191	14997	484913
192	15074	484800
193	15145	484513
194	15221	484343
195	15300	484318
196	15374	484116
197	15453	484038
198	15527	483848
199	15606	483795
200	15684	483710
201	15767	483803
202	15849	483850
203	15926	483722
204	16002	483602
205	16080	483522
206	16159	483444
207	16244	483585
208	16323	483535
209	16398	483365
210	16475	483256
211	16551	483130
212	16628	483008
213	16705	482901
214	16782	482801
215	16861	482739
216	16933	482494
217	17011	482397
218	17089	482339
219	17168	482269
220	17246	482187
221	17316	481891
222	17390	481707
223	17477	481868
224	17552	481710
225	17627	481571
226	17699	481311
227	17768	480996
228	17848	480969
229	17923	480804
230	18000	480701
231	18076	480584
232	18162	480724
233	18257	481100
234	18352	481470
235	18443	481719
236	18546	482287
237	18647	482806
238	18742	483161
239	18834	483421
240	18917	483452
241	19002	483553
242	19090	483703
243	19173	483747
244	19258	483821
245	19343	483892
246	19454	484627
247	19550	484972
248	19652	485467
249	19740	485613
250	19845	486183
251	19929	486208
252	20022	486471
253	20104	486464
254	20189	486536
255	20270	486501
256	20345	486302
257	20423	486212
258	20506	486226
259	20591	486275
260	20669	486160
261	20743	485957
262	20820	485841
263	20904	485860
264	20991	485968
265	21076	486023
266	21162	486099
267	21235	485887
268	21311	485722
269	21391	485658
270	21470	485591
271	21551	485546
272	21632	485493
273	21715	485499
274	21789	485317
275	21872	485306
276	21951	485238
277	22028	485110
278	22113	485158
279	22197	485165
280	22272	484997
281	22348	484846
282	22423	484683
283	22507	484708
284	22585	484594
285	22663	484482
286	22786	485336
287	22862	485188
288	22950	485293
289	23112	486949
290	23208	487210
291	23281	486991
292	23358	486860
293	23435	486719
294	23514	486631
295	23592	486507
296	23667	486349
297	23747	486274
298	23828	486217
299	23905	486087
300	23986	486025
301	24064	485904
302	24142	485792
303	24220	485690
304	24302	485661
305	24388	485697
306	24465	485559
307	24541	485418
308	24621	485330
309	24698	485197
310	24780	485170
311	24859	485088
312	24941	485034
313	25018	484911
314	25095	484790
315	25173	484670
316	25252	484568
317	25329	484442
318	25404	484273
319	25484	484206
320	25560	484058
321	25638	483946
322	25717	483849
323	25792	483684
324	25870	483582
325	25946	483440
326	26020	483254
327	26093	483051
328	26170	482913
329	26246	482780
330	26321	482622
331	26396	482447
332	26474	482353
333	26553	482253
334	26644	482379
335	26719	482232
336	26797	482120
337	26877	482046
338	26952	481886
339	27035	481860
340	27118	481846
341	27193	481693
342	27268	481529
343	27346	481430
344	27427	481380
345	27502	481209
346	27591	481302
347	27668	481181
348	27755	481230
349	27836	481174
350	27929	481328
351	28012	481310
352	28096	481302
353	28178	481266
354	28258	481196
355	28342	481187
356	28419	481065
357	28496	480932
358	28570	480767
359	28650	480692
360	28726	480551
361	28803	480431
362	28877	480249
363	28967	480358
364	29048	480293
365	29127	480212
366	29206	480121
367	29286	480047
368	29365	479952
369	29442	479830
370	29520	479733
371	29604	479724
372	29681	479595
373	29762	479537
374	29840	479441
375	29918	479328
376	29997	479250
377	30074	479129
378	30154	479051
379	30233	478956
380	30308	478817
381	30387	478727
382	30463	478591
383	30538	478437
384	30619	478385
385	30701	478333
386	30779	478240
387	30859	478163
388	30941	478115
389	31017	477986
390	31105	478035
391	31184	477950
392	31264	477876
393	31349	477874
394	31429	477809
395	31505	477678
396	31580	477519
397	31663	477495
398	31747	477481
399	31826	477402
400	31906	477322
401	31986	477258
402	32069	477218
403	32149	477145
404	32231	477098
405	32315	477085
406	32406	477173
407	32486	477099
408	32575	477156
409	32659	477154
410	32738	477051
411	32820	477014
412	32902	476960
413	32983	476908
414	33066	476873
415	33148	476824
416	33230	476784
417	33312	476728
418	33388	476605
419	33471	476567
420	33581	476926
421	33660	476835
422	33737	476708
423	33818	476650
424	33896	476546
425	33968	476357
426	34048	476277
427	34131	476242
428	34213	476199
429	34290	476083
430	34365	475928
431	34444	475842
432	34523	475756
433	34605	475706
434	34686	475642
435	34771	475639
436	34892	476121
437	34970	476014
438	35058	476044
439	35139	475978
440	35219	475901
441	35301	475856
442	35385	475824
443	35464	475736
444	35548	475705
445	35630	475660
446	35715	475644
447	35792	475524
448	35874	475479
449	35957	475444
450	36040	475397
451	36122	475350
452	36193	475154
453	36273	475067
454	36349	474939
455	36429	474867
456	36508	474773
457	36591	474726
458	36669	474622
459	36748	474528
460	36825	474416
461	36906	474352
462	36985	474265
463	37065	474185
464	37147	474125
465	37226	474041
466	37309	473995
467	37391	473942
468	37474	473902
469	37567	473989
470	37662	474105
471	37772	474392
472	37866	474489
473	37959	474575
474	38039	474495
475	38131	474560
476	38212	474488
477	38295	474452
478	38377	474385
479	38461	474356
480	38548	474364
481	38636	474384
482	38720	474351
483	38802	474291
484	38883	474216
485	38975	474277
486	39114	474917
487	39204	474947
488	39292	474968
489	39385	475038
490	39477	475091
491	39560	475052
492	39646	475033
493	39733	475027
494	39810	474905
495	39891	474840
496	39984	474902
497	40072	474912
498	40164	474968
499	40252	474977
500	40340	474992
501	40431	475029
502	40528	475147
503	40619	475182
504	40707	475194
505	40796	475201
506	40885	475222
507	40972	475214
508	41063	475252
509	41151	475256
510	41244	475317
511	41330	475298
512	41415	475273
513	41510	475356
514	41594	475302
515	41674	475217
516	41754	475131
517	41836	475060
518	41917	474980
519	42000	474930
520	42081	474851
521	42158	474731
522	42233	474586
523	42319	474563
524	42401	474492
525	42477	474353
526	42558	474280
527	42637	474175
528	42716	474084
529	42802	474062
530	42889	474043
531	42977	474047
532	43066	474052
533	43155	474060
534	43241	474043
535	43330	474049
536	43437	474254
537	43526	474260
538	43618	474295
539	43728	474539
540	43813	474498
541	43894	474414
542	43976	474343
543	44057	474266
544	44139	474200
545	44220	474115
546	44293	473951
547	44379	473924
548	44462	473860
549	44547	473826
550	44630	473760
551	44712	473695
552	44785	473528
553	44868	473465
554	44951	473413
555	45034	473349
556	45108	473193
557	45189	473112
558	45272	473048
559	45352	472965
560	45434	472893
561	45517	472831
562	45602	472788
563	45677	472646
564	45760	472584
565	45844	472542
566	45919	472397
567	46002	472337
568	46083	472257
569	46167	472205
570	46240	472037
571	46318	471931
572	46390	471757
573	46472	471683
574	46557	471643
575	46634	471528
576	46716	471455
577	46797	471378
578	46878	471295
579	46958	471205
580	47043	471159
581	47126	471102
582	47197	470919
583	47276	470824
584	47360	470773
585	47431	470595
586	47512	470516
587	47591	470415
588	47670	470307
589	47749	470208
590	47827	470103
591	47909	470034
592	47992	469965
593	48073	469888
594	48153	469797
595	48233	469710
596	48317	469660
597	48398	469583
598	48478	469492
599	48553	469348
600	48636	469285
601	48717	469206
602	48795	469103
603	48874	469003
604	48954	468914
605	49035	468828
606	49115	468737
607	49186	468566
608	49267	468484
609	49346	468382
610	49425	468287
611	49498	468133
612	49572	467982
613	49651	467891
614	49723	467720
615	49802	467627
616	49872	467444
617	49943	467266
618	50024	467190
619	50103	467095
620	50182	466994
621	50295	467213
622	50367	467054
623	50459	467073
624	50542	467013
625	50620	466905
626	50695	466772
627	50777	466704
628	50859	466629
629	50944	466588
630	51024	466499
631	51110	466461
632	51190	466378
633	51273	466312
634	51356	466252
635	51439	466191
636	51517	466085
637	51591	465941
638	51677	465908
639	51792	466129
640	51867	465994
641	51947	465905
642	52032	465861
643	52116	465811
644	52199	465751
645	52279	465659
646	52360	465582
647	52432	465416
648	52510	465311
649	52583	465160
650	52664	465084
651	52744	464994
652	52827	464931
653	52911	464875
654	52989	464772
655	53063	464631
656	53145	464558
657	53227	464489
658	53300	464336
659	53382	464265
660	53462	464180
661	53540	464068
662	53610	463892
663	53691	463816
664	53771	463731
665	53849	463619
666	53934	463578
667	54014	463489
668	54097	463429
669	54171	463290
670	54252	463208
671	54324	463055
672	54410	463018
673	54489	462919
674	54559	462742
675	54640	462663
676	54711	462504
677	54791	462410
678	54864	462269
679	54935	462101
680	55018	462038
681	55099	461960
682	55173	461827
683	55248	461698
684	55340	461707
685	55429	461696
686	55518	461684
687	55604	461649
688	55684	461558
689	55764	461472
690	55849	461425
691	55922	461276
692	55993	461114
693	56070	461008
694	56142	460851
695	56211	460677
696	56292	460600
697	56380	460579
698	56467	460544
699	56546	460452
700	56621	460324
701	56704	460260
702	56786	460192
703	56862	460072
704	56945	460005
705	57026	459924
706	57101	459800
707	57172	459638
708	57251	459544
709	57330	459449
710	57411	459375
711	57485	459234
712	57566	459156
713	57645	459063
714	57724	458971
715	57805	458890
716	57876	458731
717	57954	458631
718	58033	458534
719	58114	458460
720	58194	458372
721	58275	458295
722	58354	458199
723	58436	458132
724	58510	457995
725	58592	457922
726	58663	457768
727	58739	457654
728	58820	457573
729	58900	457490
730	58971	457331
731	59051	457242
732	59133	457176
733	59216	457115
734	59295	457019
735	59381	456976
736	59462	456897
737	59542	456815
738	59619	456703
739	59697	456606
740	59778	456525
741	59855	456419
742	59937	456350
743	60014	456242
744	60103	456218
745	60184	456141
746	60267	456082
747	60347	455993
748	60428	455914
749	60509	455837
750	60590	455756
751	60670	455672
752	60741	455524
753	60817	455402
754	60898	455324
755	60968	455167
756	61090	455393
757	61175	455345
758	61255	455257
759	61324	455092
760	61405	455011
761	61479	454886
762	61564	454834
763	61644	454749
764	61716	454605
765	61799	454538
766	61874	454420
767	61946	454277
768	62024	454173
769	62105	454094
770	62183	453992
771	62265	453925
772	62342	453821
773	62425	453755
774	62498	453619
775	62569	453468
776	62649	453384
777	62731	453314
778	62809	453210
779	62887	453111
780	62963	453000
781	63042	452907
782	63145	452983
783	63220	452862
784	63302	452795
785	63385	452730
786	63467	452661
787	63544	452553
788	63620	452439
